Name	Type	Category	Base Power	Accuracy	Priority	Description	Max PP	Makes Contact?	Level	Range	Natural Users	Flavor Text	Porting Status	Meta
Milk Drink	Normal	Status			0	Milk Drink recovers up to 50% of the user's maximum HP.	10	No	35	Self	1	The user restores its own HP by up to half of its max HP.	OK	
Mimic	Normal	Status			0	Mimic copies the last Move used by the target. The user must meet the Move's minimum level requirement. Mimic cannot copy Chatter, Metronome, Sketch, Mirror Move, or Struggle.	10	No	16	Single Pokémon within view	9	The user copies the target’s last move. The move can be used during battle until the Pokémon is switched out.	OK?	removing the behavior of "you temporarily learn the move"
Mind Blown	Fire	Special	150	20	0	Mind Blown deals damage, but the user sacrifices one half of its maximum HP in recoil.	5	No	70	All Pokémon within 10m (ally or enemy)	1	The user attacks everything around it by causing its own head to explode. This also damages the user.	OK	
Mind Reader	Normal	Status			0	The user's next attack against the target is guaranteed to hit.	5	No	42	Single Pokémon within view	8	The user senses the target’s movements with its mind to ensure its next attack does not miss the target.	OK	
Minimize	Normal	Status			0	Minimize raises the user's Evasion by two stages, thus making the user more difficult to hit. The following Moves do extra damage against Minimized targets and bypass accuracy checks: Body Slam, Dragon Rush, Flying Press, Heat Crash, Heavy Slam, Steamroller, Stomp	10	No	1	Self	15	The user compresses its body to make itself look smaller, which sharply raises its evasiveness.	OK	
Miracle Eye	Psychic	Status			0	Resets opponent's Evasiveness, removes Dark's Psychic immunity.	40	No	23	Single Pokémon within view	12	Enables a Dark-type target to be hit by Psychic-type attacks. This also enables an evasive target to be hit.	OK	
Mirror Coat	Psychic	Special	100	20	-5	If the user is hit by a Special Attack before the start of their next turn, the user strikes back with a Psychic-type attack with 2x of that move's base power.	20	No	38	Self	18	A retaliation move that counters any special attack, inflicting double the damage taken.	OK	copied from Counter
Mirror Move	Flying	Status			0	Mirror Move copies the last Move used by the target. The user must meet the Move's minimum level requirement. Mirror Move cannot copy Chatter, Metronome, Sketch, Mimic, or Struggle.	20	No	41	Single adjacent Pokémon	15	The user counters the target by mimicking the target’s last move.	OK	so this is identical to mimic I guess
Mirror Shot	Steel	Special	65	17	0	Mirror Shot deals damage and has a 30% chance (a d20 rolls 15 or higher) of lowering the target's Accuracy by one stage. Pokémon with the abilities Keen Eye, Clear Body or White Smoke cannot have their accuracy reduced.	10	No	26	Single Pokémon within 10m	16	The user lets loose a flash of energy at the target from its polished body. This may also lower the target’s accuracy.	OK	
Mist	Ice	Status			0	The stats of the user and nearby allies cannot be lowered for 5 turns.	30	No	10	Self and all allies within 10m	38	The user cloaks itself and its allies in a white mist that prevents any of their stats from being lowered for five turns.	OK	
Mist Ball	Psychic	Special	70	20	0	Mist Ball deals damage and has a 50% chance (a d20 rolls 11 or higher) of lowering the target's Special Attack by one stage.	5	No	35	Single Pokémon within 10m	1	A mist-like flurry of down envelops and damages the target. This may also lower the target’s Sp. Atk stat.	OK	
Misty Explosion	Fairy	Special	100	20	0	The user attacks everything around it and faints upon using this move. This move’s power is increased to 150 on Misty Terrain.	5	No	23	All Pokémon within 10m	0	The user attacks everything around it and faints upon using this move. This move's power is increased on Misty Terrain.	OK	
Misty Terrain	Fairy	Status			0	Misty Terrain creates a low-lying mist lasting 5 turns, that protects all grounded Pokémon from being hit with status conditions (including confusion). It also halves the power of Dragon type Moves while in effect. Accuracy of all Moves is lowered by -1 for every 5m of range (except for Moves which ignore Accuracy and Evasion). Grounded Pokémon are simply those that are not raised. Raised Pokémon are any Flying types or those under the effects of Levitate, Magnet Rise or Telekinesis. Misty Terrain is a terrain condition and can coexist at the same time as weather conditions, but not other terrain conditions. Status conditions in effect when Misty Terrain is used continue as normal.	10	No	35	Targets the entire field.	16	This protects Pokémon on the ground from status conditions and halves damage from Dragon-type moves for five turns.	OK?	added accuracy debuff and clarified that existing status effects continue
Moonblast	Fairy	Special	95	20	0	Moonblast deals damage and has a 30% chance (a d20 rolls 15 or higher) of lowering the target's Special Attack by one stage.	15	No	40	Single adjacent Pokémon	33	Borrowing the power of the moon, the user attacks the target. This may also lower the target’s Sp. Atk stat.	OK	
Moongeist Beam	Ghost	Special	100	20	0	This Move ignores the target's Ability.	5	No	1	Single Pokémon within 10m	1	The user emits a sinister ray to attack the target. This move can be used on the target regardless of its Abilities.	OK	
Moonlight	Fairy	Status			0	The user recovers 50% of their maximum HP. If it is currently nighttime, this increases to 75%. If Rain, Hail, or Sandstorm is in effect, this decreases to 25%.	5	No	16	Self	16	The user restores its own HP. The amount of HP regained varies with the weather.	OK	Same as Synthesis, but added "if it is nighttime" clause that doesn't directly map to weather moves
Morning Sun	Normal	Status			0	The user recovers 50% of their maximum HP. If Sunny Day is active, this increases to 75%. If Rain, Hail, or Sandstorm is in effect, this decreases to 25%.	5	No	1	Self	6	The user restores its own HP. The amount of HP regained varies with the weather.	OK	Same as Synthesis
Mud Bomb	Ground	Special	65	17	0	Mud Bomb deals damage and has a 30% chance (a d20 rolls 15 or higher) of lowering the target's Accuracy by one stage. Pokémon with the abilities Keen Eye, Clear Body or White Smoke cannot have their accuracy reduced.	10	No	21	Single Pokémon within 10m	24	The user launches a hard-packed mud ball to attack. This may also lower the target’s accuracy.	OK	
Mud Shot	Ground	Special	55	19	0	Mud Shot deals damage and lowers the target's Speed by one stage.	15	No	12	Single Pokémon within 10m	23	The user attacks by hurling a blob of mud at the target. This also lowers the target’s Speed stat.	OK	
Mud Sport	Ground	Status			0	Mud Sport reduces the power of Electric type moves by 50%. The effect applies to the entire field. Most Pokémon that learn Mud Sport are part Ground type and thus already immune to Electric attacks.	15	No	2	All terrain in 50m radius	38	The user kicks up mud on the battlefield. This weakens Electric-type moves for five turns.	OK	
Mud-Slap	Ground	Special	20	20	0	Mud-Slap deals damage and lowers the target's Accuracy by one stage. Pokémon with the abilities Keen Eye, Clear Body or White Smoke cannot have their accuracy reduced.	10	No	1	Single adjacent Pokémon	45	The user hurls mud in the target’s face to inflict damage and lower its accuracy.	OK	
Muddy Water	Water	Special	90	17	0	Muddy Water deals damage and has a 30% chance (a d20 rolls 15 or higher) of lowering the target's Accuracy by one stage. Pokémon with the abilities Keen Eye, Clear Body or White Smoke cannot have their accuracy reduced.	10	No	40	All adjacent enemy Pokémon.	21	The user attacks by shooting muddy water at opposing Pokémon. This may also lower their accuracy.	OK	
Multi-Attack	Normal	Physical	120	20	0	Multi-Attack is the signature move of Silvally. It deals damage with its type matching the Memory item held.	10	Yes	1	Single adjacent Pokémon	1	Cloaking itself in high energy, the user slams into the target. The memory held determines the move’s type.	OK	
Mystical Fire	Fire	Special	75	20	0	Mystical Fire deals damage and lowers the target's Special Attack by one stage.	10	No	40	Single adjacent Pokémon	1	The user attacks by breathing a special, hot fire. This also lowers the target’s Sp. Atk stat.	OK	
Nasty Plot	Dark	Status			0	Nasty Plot raises the user's Special Attack by two stages.	20	No	40	Self	48	The user stimulates its brain by thinking bad thoughts. This sharply raises the user’s Sp. Atk stat.	OK	
Natural Gift	Normal	Physical	100	20	0	Natural Gift deals damage with no additional effects. However, its type and base power vary depending on the user's held Berry.	15	No	31	Single adjacent Pokémon	38	The user draws power to attack by using its held Berry. The Berry determines the move’s type and power.	Broken	
Nature Power	Normal	Physical	80	20	0	Nature Power's Type is based on the surrounding environment, at the GM's judgment.	20	No	24	Single Pokémon within 10m	9	This attack makes use of nature’s power. Its effects vary depending on the user’s environment.	OK?	
Nature's Madness	Fairy	Special	90	18	0	The target's HP is reduced by 50%.	10	No	55	Single adjacent Pokémon	4	The user hits the target with the force of nature. It halves the target’s HP.	OK?	overpowered against bosses?
Needle Arm	Grass	Physical	60	20	0	Needle Arm deals damage and has a 30% chance (a d20 rolls 15 or higher) of causing the target to flinch. Pokémon with the ability Inner Focus or those behind a Substitute cannot be made to flinch.	15	Yes	16	Single adjacent Pokémon	5	The user attacks by wildly swinging its thorny arms. This may also make the target flinch.	OK	
Night Daze	Dark	Special	85	19	0	Night Daze deals damage and has a 40% chance (a d20 rolls 13 or higher) of lowering the target's Accuracy by one stage. Pokémon with the abilities Keen Eye, Clear Body or White Smoke cannot have their accuracy reduced.	10	No	46	Single Pokémon within 10m	3	The user lets loose a pitch-black shock wave at its target. This may also lower the target’s accuracy.	OK	
Night Shade	Ghost	Special	100	20	0	The damage of Night Shade is equal to the user's level. So at level 100 the Pokémon will inflict 100 HP damage.	15	No	16	Single adjacent Pokémon	25	The user makes the target see a frightening mirage. It inflicts damage equal to the user’s level.	OK	
Night Slash	Dark	Agility	70	20	0	Night Slash deals damage and uses critical dice	15	Yes	24	Single adjacent Pokémon	36	The user slashes the target the instant an opportunity arises. Critical hits land more easily.	OK	
Nightmare	Ghost	Status			0	If the target is asleep, Nightmare causes it to take 3d6 damage at the end of each of its turns. The status condition is only cured when the Pokémon wakes up.	15	No	38	Single adjacent Pokémon	6	A sleeping target sees a nightmare that inflicts some damage every turn.	OK	changed to 3d6 damage and specified that it can't be cured with a regular status roll naturally
No Retreat	Fighting	Status			0	Raises all stats by one stage, but the user loses their movement for their next 3 turns.	5	No	40	Self	1	This move raises all the user’s stats but prevents the user from switching out or fleeing.	OK	
Noble Roar	Normal	Status			0	Noble Roar lowers the target's Attack and Special Attack by one stage each.	30	No	1	Single Pokémon within 10m	13	Letting out a noble roar, the user intimidates the target and lowers its Attack and Sp. Atk stats.	OK	
Nuzzle	Electric	Physical	20	20	0	Nuzzle deals damage and paralyzes the target. Electric type Pokémon, those with the ability Limber or those behind a Substitute cannot be paralyzed.	20	Yes	1	Single adjacent Pokémon	12	The user attacks by nuzzling its electrified cheeks against the target. This also leaves the target with paralysis.	OK	
Oblivion Wing	Flying	Special	80	20	0	Oblivion Wing deals damage and the user will recover 75% of the HP drained. Oblivion Wing is the signature move of Yveltal. In battle, the user flies high into the sky then releases a beam of red light that scorches the ground.	10	No	50	Single Pokémon within 10m	1	The user absorbs its target’s HP. The user’s HP is restored by over half of the damage taken by the target.	OK	
Obstruct	Dark	Status	100	20	4	Obstruct causes any attacks targeted at the user to have 0% accuracy, until the beginning of their next turn. It has priority +4 so will activate before most other moves. If a contact move is targeted at the user during this time, the attacker's Defense is lowered by two stages. The move is similar to Detect only with an added debuff on attackers. The accuracy of Obstruct decreases by one stage each time it is used consecutively after itself or Protect, Detect, Endure, Wide Guard, Quick Guard, Spiky Shield, King's Shield, or Baneful Bunker. Moves with infinite accuracy or under effects such as Mind Reader can still bypass Obstruct.	10	No	1	Self	1	This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession. Direct contact harshly lowers the attacker’s Defense stat.	OK	copied from Detect
Octazooka	Water	Special	65	17	0	Octazooka deals damage and has a 50% chance (a d20 rolls 11 or higher) of lowering the target's Accuracy by one stage. Pokémon with the abilities Keen Eye, Clear Body or White Smoke cannot have their accuracy reduced.	10	No	1	Single adjacent Pokémon	2	The user attacks by spraying ink in the target’s face or eyes. This may also lower the target’s accuracy.	OK	
Octolock	Fighting	Status			0	Octolock is a Trap move which does not deal damage. However, it lowers the target's Defense and Special Defense by one stage at the beginning of each of the user's turns. See the rules for "Trap Moves" for more details.	15	No	1	Single adjacent Pokémon	1	The user locks the target in and prevents it from fleeing. This move also lowers the target’s Defense and Sp. Def every turn.	OK	
Odor Sleuth	Normal	Status			0	Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.	40	No	9	Single Pokémon within view	46	Enables a Ghost-type target to be hit by Normal- and Fighting-type attacks. This also enables an evasive target to be hit.	OK	
Ominous Wind	Ghost	Special	60	20	0	Ominous Wind deals damage and has a 10% chance (a d20 rolls 19 or higher) of raising the user's Attack, Defense, Special Attack, Special Defense and Speed by one stage each.	5	No	20	Single adjacent Pokémon	23	The user blasts the target with a gust of repulsive wind. This may also raise all the user’s stats at once.	OK	
Origin Pulse	Water	Special	110	17	0	Origin Pulse deals damage and hits all adjacent opponents. It is the signature move of Kyogre.	10	No	63	All enemy Pokémon within 10m	1	The user attacks opposing Pokémon with countless beams of light that glow a deep and brilliant blue.	OK	
Outrage	Dragon	Physical	120	20	0	The user of Outrage attacks for 3 turns (including this one), during which it loses its regular action (but not movement), and then becomes confused. A new target may be chosen for each attack. The user cannot cancel the move on their own. However, if Outrage is disrupted (e.g. if the move misses, the user flinches, the user cannot attack due to paralysis, or no more targets are within range) then it will stop and not cause confusion. Pokémon with the ability Own Tempo or those behind a Substitute cannot be confused.	10	Yes	60	Single adjacent Pokémon	30	The user rampages and attacks for two to three turns. The user then becomes confused.	OK	Allowing movement in between so the user can chase opponents, and clarified what can stop it
Overdrive	Electric	Special	80	20	0	Overdrive has no effect on Pokémon with the Soundproof ability	10	No	44	All enemy Pokémon within 10m	2	The user attacks opposing Pokémon by twanging a guitar or bass guitar, causing a huge echo and strong vibration.	OK	
Overheat	Fire	Special	130	18	0	Overheat deals damage but lowers the user's Special Attack by two stages after attacking.	5	No	52	Single adjacent Pokémon	6	The user attacks the target at full power. The attack’s recoil harshly lowers the user’s Sp. Atk stat.	OK	
Pain Split	Normal	Status			0	The user's and opponent's HP becomes the average of both (capped by their respective maximum HP values)	20	No	44	Single adjacent Pokémon	17	The user adds its HP to the target’s HP, then equally shares the combined HP with the target.	OK	I guess this is fine?
Parabolic Charge	Electric	Special	65	20	0	Parabolic Charge deals damage and the user will recover 50% of the HP drained. It targets all adjacent Pokémon.	20	No	28	All adjacent Pokémon (ally or enemy)	3	The user attacks everything around it. The user’s HP is restored by half the damage taken by those hit.	OK	
Parting Shot	Dark	Status			0	Parting Shot lowers the opponent's Attack and Special Attack by one stage each. The user is then immediately given a bonus movement action.	20	No	60	Single adjacent Pokémon	4	With a parting threat, the user lowers the target’s Attack and Sp. Atk stats. Then it switches with a party Pokémon.	OK	
Pay Day	Normal	Physical	40	20	0	A small amount of money is gained after the battle resolves.	20	No	12	Single adjacent Pokémon	6	Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.	Broken	
Payback	Dark	Physical	50	20	0	This Move strikes at the beginning of the user's next turn. If the user has taken damage during that time, the Move's power is doubled.	10	Yes	9	Single adjacent Pokémon	26	The user stores power, then attacks. If the user moves after the target, this attack’s power will be doubled.	OK	
Peck	Flying	Physical	35	20	0	Peck deals damage with no additional effect	35	Yes	1	Single adjacent Pokémon	41	The target is jabbed with a sharply pointed beak or horn.	OK	shortened range
Perish Song	Normal	Status			0	Any Pokémon in play when this attack is used faints in 3 turns.	5	No	44	Targets the entire field.	10	Any Pokémon that hears this song faints in three turns, unless it switches out of battle.	Broken	overpowered maybe?
Petal Blizzard	Grass	Physical	90	20	0	Petal Blizzard deals damage with no additional effect.	15	No	1	5m diameter circle within 10m	11	The user stirs up a violent petal blizzard and attacks everything around it.	OK	changed to AOE
Petal Dance	Grass	Special	120	20	0	The user of Petal Dance attacks for 3 turns (including this one), during which it loses its regular action (but not movement), and then becomes confused. A new target may be chosen for each attack. The user cannot cancel the move on their own. However, if Petal Dance is disrupted (e.g. if the move misses, the user flinches, the user cannot attack due to paralysis, or no more targets are within range) then it will stop and not cause confusion. Pokémon with the ability Own Tempo or those behind a Substitute cannot be confused.	10	Yes	40	Single adjacent Pokémon	11	The user attacks the target by scattering petals for two to three turns. The user then becomes confused.	OK	copied from Outrage
Phantom Force	Ghost	Physical	90	20	0	Phantom Force causes the user to disappear on the first turn, becoming invulnerable to most attacks. On the second turn, it deals damage and can hit Pokémon using Protect or Detect. The user moves adjacent to their target, and the turn ends.	10	Yes	48	Single Pokémon within move range	13	The user vanishes somewhere, then strikes the target on the next turn. This move hits even if the target protects itself.	OK	
Photon Geyser	Psychic	Special	100	20	0	Photon Geyser deals damage, but uses either the user's Attack or Special Attack stat to determine its power, whichever is higher.	5	No	72	Single adjacent Pokémon	1	The user attacks a target with a pillar of light. This move inflicts Attack or Sp. Atk damage—whichever stat is higher for the user.	OK	
Pin Missile	Bug	Physical	25	19	0	Pin Missile hits 1d4+1 times per turn used. See rules on "Multi-Hit Moves" for details.	20	No	25	One or more Pokémon within 10m	17	Sharp spikes are shot at the target in rapid succession. They hit two to five times in a row.	OK	
Plasma Fists	Electric	Physical	100	20	0	On a successful hit, all of the target's Normal-type moves become Electric-type moves until the battle ends.	15	Yes	88	Single adjacent Pokémon	1	The user attacks with electrically charged fists. This move changes Normal-type moves to Electric-type moves.	OK	
Play Nice	Normal	Status			0	Play Nice lowers the target's Attack by one stage. The move always hits, even if the target used a Protect-like move.	20	No	1	Single Pokémon within 10m	21	The user and the target become friends, and the target loses its will to fight. This lowers the target’s Attack stat.	OK	
Play Rough	Fairy	Physical	90	18	0	Play Rough deals damage and has a 10% chance (a d20 rolls 19 or higher) of lowering the target's Attack by one stage.	10	Yes	44	Single adjacent Pokémon	30	The user plays rough with the target and attacks it. This may also lower the target’s Attack stat.	OK	
Pluck	Flying	Physical	60	20	0	If the opponent is holding a berry, it is stolen and eaten by the user.	20	Yes	15	Single adjacent Pokémon	18	The user pecks the target. If the target is holding a Berry, the user eats it and gains its effect.	OK	
Poison Fang	Poison	Physical	50	20	0	Poison Fang deals damage and has a 50% chance (a d20 rolls 11 or higher) of badly poisoning the target. Badly poisoned Pokémon will lose an increasing amount of HP at the end of each turn (see rules for "Toxic")	15	Yes	9	Single adjacent Pokémon	10	The user bites the target with toxic fangs. This may also leave the target badly poisoned.	OK	
Poison Gas	Poison	Status	90	18	0	Poison Gas causes the target to become poisoned. Poison or Steel type Pokémon, those with the ability Immunity or those behind a Substitute cannot be poisoned.	40	No	1	All Pokémon within a 5m radius	9	A cloud of poison gas is sprayed in the face of opposing Pokémon, poisoning those it hits.	OK	changed to indiscriminate AOE
Poison Jab	Poison	Physical	80	20	0	Poison Jab deals damage and has a 30% chance (a d20 rolls 15 or higher) of poisoning the target. Poison or Steel type Pokémon, those with the ability Immunity or those behind a Substitute cannot be poisoned.	20	Yes	40	Single adjacent Pokémon	16	The target is stabbed with a tentacle, arm, or the like steeped in poison. This may also poison the target.	OK	
Poison Powder	Poison	Status	75	15	0	Poison Powder causes the target to become poisoned. Poison or Steel type Pokémon, those with the ability Immunity or those behind a Substitute cannot be poisoned.	35	No	14	Single adjacent Pokémon	12	The user scatters a cloud of poisonous dust that poisons the target.	OK	
Poison Sting	Poison	Physical	15	20	0	Poison Sting deals damage and has a 30% chance (a d20 rolls 15 or higher) of poisoning the target. Poison or Steel type Pokémon, those with the ability Immunity or those behind a Substitute cannot be poisoned.	35	No	1	Single adjacent Pokémon	25	The user stabs the target with a poisonous stinger. This may also poison the target.	OK	
Poison Tail	Poison	Physical	50	20	0	Poison Tail deals damage and has a 10% chance (a d20 rolls 19 or higher) of poisoning the target. It also uses critical dice. Poison or Steel type Pokémon, those with the ability Immunity or those behind a Substitute cannot be poisoned.	25	Yes	12	Single adjacent Pokémon	7	The user hits the target with its tail. This may also poison the target. Critical hits land more easily.	OK	
Pollen Puff	Bug	Special	90	20	0	If used on an ally, this attack restores health instead of damaging (you will still roll as though it were an attack in that case)	15	No	1	Single Pokémon within 5m	1	The user attacks the enemy with a pollen puff that explodes. If the target is an ally, it gives the ally a pollen puff that restores its HP instead.	OK	
Poltergeist	Ghost	Physical	110	18	0	The user attacks the target by controlling the target’s item. The move fails if the target doesn’t have an item.	5	No	35	Single adjacent Pokémon	0		OK	
Pound	Normal	Physical	40	20	0	Pound deals damage with no additional effect.	35	Yes	1	Single adjacent Pokémon	61	The target is physically pounded with a long tail, a foreleg, or the like.	OK	
Powder	Bug	Status			1	Powder moves with priority and covers the target in a powder that lasts until the end of their next turn. It inflicts 4d6 damage on the target if they use a Fire type move during that time, and prevents the Fire move from working.	20	No	55	Single adjacent Pokémon	2	The user covers the target in a combustible powder. If the target uses a Fire-type move, the powder explodes and damages the target.	OK?	
Powder Snow	Ice	Special	40	20	0	Powder Snow deals damage and has a 10% chance (a d20 rolls 19 or higher) of freezing the target. Ice type Pokémon, those with the ability Magma Armor or those behind a Substitute cannot be frozen.	25	No	1	All adjacent enemy Pokémon.	31	The user attacks with a chilling gust of powdery snow. This may also freeze opposing Pokémon.	OK	
Power Gem	Rock	Special	80	20	0	Power Gem deals damage with no additional effect.	20	No	39	Single Pokémon within 10m	19	The user attacks with a ray of light that sparkles as if it were made of gemstones.	OK	
Power Split	Psychic	Status			0	Power Split averages the user's Attack and Special Attack with those of the target. Stat boosts are not taken into account. The effect lasts until the battle ends or the Pokémon switches out. For example, if the user's Attack was 100, the opponent's was 200, and the opponent had used Swords Dance, then both Pokémon would end up with 150 Attack. Due to the stat boost, the opponent's effective Attack would now be 300 (instead of the 400 it was originally).	10	No	38	Single adjacent Pokémon	12	The user employs its psychic power to average its Attack and Sp. Atk stats with those of the target.	Broken	
Power Swap	Psychic	Status			0	Stat changes to both Attack and Special Attack are swapped with the target. For example, a -1 stage Attack and +2 stage Attack will swap between the target and user, and a 0 stage Sp. Atk and a +2 stage Sp. Atk will swap between the target and the user. As this affects stat changes, it can be reset by Moves which revert stat changes.	10	No	34	Single adjacent Pokémon	7	The user employs its psychic power to switch changes to its Attack and Sp. Atk stats with the target.	OK	
Power Trick	Psychic	Status			0	User's own Attack and Defense switch until the end of the battle	10	No	12	Self	7	The user employs its psychic power to switch its Attack stat with its Defense stat.	OK	
Power Trip	Dark	Physical	-	20	0	This move's power is 20 plus an additional 20 for every stage that one of the user's stats are boosted. Stat decreases do not affect the power.	10	Yes	1	Single adjacent Pokémon	7	The user boasts its strength and attacks the target. The more the user’s stats are raised, the greater the move’s power.	OK	
Power Whip	Grass	Physical	120	17	0	Power Whip deals damage with no additional effect.	10	Yes	54	Single adjacent Pokémon	10	The user violently whirls its vines, tentacles, or the like to harshly lash the target.	OK	
Power-Up Punch	Fighting	Physical	40	20	0	Power-Up Punch deals damage and raises the user's Attack by one stage.	20	Yes	1	Single adjacent Pokémon	5	Striking opponents over and over makes the user’s fists harder. Hitting a target raises the Attack stat.	OK	
Precipice Blades	Ground	Physical	120	17	0	Precipice Blades deals damage and hits all adjacent opponents. It is the signature move of Groudon.	10	No	63	All enemy Pokémon within 10m	1	The user attacks opposing Pokémon by manifesting the power of the land in fearsome blades of stone.	OK	
Present	Normal	Physical	90	18	0	Roll a d20. On 6 or above, this Move deals damage. Otherwise, it heals equal to half the damage it would have done, rounded down.	15	No	1	Single adjacent Pokémon	1	The user attacks by giving the target a gift with a hidden trap. It restores HP sometimes, however.	OK	
Protect	Normal	Status		20	4	Protect negates the damage and inficted statuses of any attacks which strike the user, until the beginning of their next turn. It has priority +4 so will activate before most other moves. The move functions similarly to Detect, however, in the case of Protect the attack will still land and potentially trigger additional effects from the contact. The accuracy of Protect decreases by one stage each time it is used consecutively after itself or Detect, Endure, Wide Guard, Quick Guard, Spiky Shield, King's Shield, or Baneful Bunker.	10	No	20	Self	71	This move enables the user to protect itself from all attacks. Its chance of failing rises if it is used in succession.	OK	Clarifies that the attack still hits, but Protect negates most of the effects.
Prismatic Laser	Psychic	Special	160	20	0	The user shoots powerful lasers using the power of a prism. The user can't move on the next turn.	10	No	88	1m x 20m line originating from the user	1	The user shoots powerful lasers using the power of a prism. The user can’t move on the next turn.	OK	
Psybeam	Psychic	Special	65	20	0	Psybeam deals damage and has a 10% chance (a d20 rolls 19 or 20) of confusing the target. Pokémon with the ability Own Tempo or those behind a Substitute cannot be confused.	20	No	18	Single Pokémon within 10m	52	The target is attacked with a peculiar ray. This may also leave the target confused.	OK	
Psych Up	Normal	Status			0	Copies the target's stat changes.	10	No	39	Single Pokémon within 10m	17	The user hypnotizes itself into copying any stat change made by the target.	OK	
Psychic	Psychic	Special	90	20	0	Psychic deals damage and has a 10% chance (a d20 rolls 19 or higher) of lowering the target's Special Defense by one stage.	10	No	40	Single Pokémon within 10m	67	The target is hit by a strong telekinetic force. This may also lower the target’s Sp. Def stat.	OK	
Psychic Fangs	Psychic	Physical	85	20	0	The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect if the target is behind them.	10	Yes	35	Single adjacent Pokémon	0	The user bites the target with its psychic capabilities. This can also destroy Light Screen and Reflect.	OK	
Psychic Terrain	Psychic	Status			0	Psychic Terrain creates a low-lying psychic field lasting 5 turns, that prevents high-priority moves (such as Quick Attack or Sucker Punch) from targeting grounded Pokémon. The power of Psychic type moves also increases while in effect. Grounded Pokémon are simply those that are not raised. Raised Pokémon are any Flying types or those under the effects of Levitate, Magnet Rise or Telekinesis. Psychic Terrain is a terrain condition and can coexist at the same time as weather conditions, but not other terrain conditions.	10	No	48	All terrain in 50m radius	6	This protects Pokémon on the ground from priority moves and powers up Psychic-type moves for five turns.	OK	
Psycho Boost	Psychic	Special	140	18	0	Psycho Boost deals damage but lowers the user's Special Attack by two stages after attacking.	5	No	67	Single Pokémon within 10m	4	The user attacks the target at full power. The attack’s recoil harshly lowers the user’s Sp. Atk stat.	OK	
Psycho Cut	Psychic	Physical	70	20	0	Psycho Cut deals damage and uses critical dice	20	No	27	Single adjacent Pokémon	11	The user tears at the target with blades formed by psychic power. Critical hits land more easily.	OK	
Psycho Shift	Psychic	Status	100	20	0	Psycho Shift transfers any major status condition the user has (Poison, Burn, Paralysis, Sleep, Freeze) to the target, if the target does not already have a status condition. Poison or Steel type Pokémon, those with the ability Immunity or those behind a Substitute cannot be poisoned. Fire type Pokémon, those with the ability Water Veil or those behind a Substitute cannot be burned. Electric type Pokémon, those with the ability Limber or those behind a Substitute cannot be paralyzed. Pokémon with the abilities Insomnia or Vital Spirit, or those behind a Substitute cannot be put to sleep. Ice type Pokémon, those with the ability Magma Armor or those behind a Substitute cannot be frozen.	10	No	24	Single adjacent Pokémon	8	Using its psychic power of suggestion, the user transfers its status conditions to the target.	OK	
Psyshock	Psychic	Special	80	20	0	Inflicts damage based on the target's Defense, not Special Defense.	10	No	20	Single Pokémon within 10m	18	The user materializes an odd psychic wave to attack the target. This attack does physical damage.	OK	
Psystrike	Psychic	Special	100	20	0	Inflicts damage based on the target's Defense, not Special Defense.	10	No	72	Single Pokémon within 10m	1	The user materializes an odd psychic wave to attack the target. This attack does physical damage.	OK	
Psywave	Psychic	Special	-	20	0	Psywave inflicts a random amount of HP damage, determined by rolling a d20 for every 20 levels of the user (so 1d20 for level 1, 2d20 for level 20 and above, 3d20 for level 40 and above, etc.) The damage is typeless (not affected by type advantages/disadvantages) but it still does not hit Dark type Pokémon.	15	No	8	Single Pokémon within 10m	25	The target is attacked with an odd psychic wave. The attack varies in intensity.	OK	this is nerfed a bit from the original
Punishment	Dark	Physical	-	20	0	Punishment deals varying damage based on the opponent's stat increases. It starts at base power 60 and increases by 20 for every net stat boost of the opponent, up to a maximum of 200 (7 boosts).	5	Yes	30	Single adjacent Pokémon	19	The more the target has powered up with stat changes, the greater the move’s power.	OK	
Purify	Poison	Status			0	The user heals the target's status condition. If a condition is restored, it also heals the user by 25% of their max HP	20	No	25	Self or single ally Pokémon within 10m	1	The user heals the target’s status condition. If the move succeeds, it also restores the user’s own HP.	OK	I assume this can target self
Pursuit	Dark	Physical	40	20	0	The user of Pursuit chases their target, moving a distance of up to 20m before making the attack (regardless of the user's speed). Pursuit takes the place of the regular move action for this turn, so you cannot use both Pursuit and normal movement within the same turn.	20	Yes	12	Single Pokémon within 20m	74	The power of this attack move is doubled if it’s used on a target that’s switching out of battle.	OK?	Reinterpreted it as "you can use this move to pounce on Pokémon that are normally out of range", and removed damage bonus. Consider adding the bonus back based on distance to target?
Pyro Ball	Fire	Physical	120	18	0	Pyro Ball has a 10% chance (a d20 rolls 19 or higher) of burning the target.	5	No	1	Single Pokémon within 10m	1	The user attacks by igniting a small stone and launching it as a fiery ball at the target. This may also leave the target with a burn.	OK	
